"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Cód.";"Município";"Ano"
"1702158";"Araguanã (TO)";"90228,2"
"1702208";"Araguatins (TO)";"785528,9"
"1702307";"Arapoema (TO)";"153137,5"
"1702406";"Arraias (TO)";"205200,2"
"1702554";"Augustinópolis (TO)";"346878,2"
"1702703";"Aurora do Tocantins (TO)";"61532,5"
"1702901";"Axixá do Tocantins (TO)";"167496,2"
"1703008";"Babaçulândia (TO)";"149213,2"
"1703057";"Bandeirantes do Tocantins (TO)";"219237,7"
"1703073";"Barra do Ouro (TO)";"122562,7"
"1703107";"Barrolândia (TO)";"124496,3"
"1703206";"Bernardo Sayão (TO)";"117016,9"
"1703305";"Bom Jesus do Tocantins (TO)";"157713,4"
"1703602";"Brasilândia do Tocantins (TO)";"120747,6"
"1703701";"Brejinho de Nazaré (TO)";"264926,8"
"1703800";"Buriti do Tocantins (TO)";"147595,0"
"1703826";"Cachoeirinha (TO)";"44838,1"
"1703842";"Campos Lindos (TO)";"1241420,1"
"1703867";"Cariri do Tocantins (TO)";"925418,9"
"1703883";"Carmolândia (TO)";"60121,3"
"1703891";"Carrasco Bonito (TO)";"75057,4"
"1703909";"Caseara (TO)";"447727,3"
"1704105";"Centenário (TO)";"79763,6"
"1704600";"Chapada de Areia (TO)";"44846,4"
"1705102";"Chapada da Natividade (TO)";"165621,9"
"1705508";"Colinas do Tocantins (TO)";"1119263,7"
"1705557";"Combinado (TO)";"82898,8"
"1705607";"Conceição do Tocantins (TO)";"75126,4"
"1706001";"Couto Magalhães (TO)";"234431,6"
"1706100";"Cristalândia (TO)";"187366,1"
"1706258";"Crixás do Tocantins (TO)";"82923,0"
"1706506";"Darcinópolis (TO)";"247899,1"
"1707009";"Dianópolis (TO)";"777790,5"
"1707108";"Divinópolis do Tocantins (TO)";"481319,1"
"1707207";"Dois Irmãos do Tocantins (TO)";"199598,7"
"1707306";"Dueré (TO)";"248721,2"
"1707405";"Esperantina (TO)";"109800,5"
"1707553";"Fátima (TO)";"102788,4"
"1707652";"Figueirópolis (TO)";"317328,5"
"1707702";"Filadélfia (TO)";"131905,7"
"1708205";"Formoso do Araguaia (TO)";"857600,2"
"1708254";"Tabocão (TO)";"221095,9"
"1708304";"Goianorte (TO)";"211187,5"
"1709005";"Goiatins (TO)";"257057,4"
"1709302";"Guaraí (TO)";"1021436,6"
"1709500";"Gurupi (TO)";"3307378,5"
"1709807";"Ipueiras (TO)";"49268,5"
"1710508";"Itacajá (TO)";"155966,9"
"1710706";"Itaguatins (TO)";"88498,6"
"1710904";"Itapiratins (TO)";"156514,5"
"1711100";"Itaporã do Tocantins (TO)";"69210,7"
"1711506";"Jaú do Tocantins (TO)";"95141,4"
"1711803";"Juarina (TO)";"48217,6"
"1711902";"Lagoa da Confusão (TO)";"941717,8"
"1711951";"Lagoa do Tocantins (TO)";"82842,6"
"1712009";"Lajeado (TO)";"95998,5"
"1712157";"Lavandeira (TO)";"35046,4"
"1712405";"Lizarda (TO)";"63169,0"
"1712454";"Luzinópolis (TO)";"56666,4"
"1712504";"Marianópolis do Tocantins (TO)";"336342,3"
"1712702";"Mateiros (TO)";"320676,9"
"1712801";"Maurilândia do Tocantins (TO)";"54949,5"
"1713205";"Miracema do Tocantins (TO)";"716542,9"
"1713304";"Miranorte (TO)";"423866,1"
"1713601";"Monte do Carmo (TO)";"330390,5"
"1713700";"Monte Santo do Tocantins (TO)";"74642,6"
"1713809";"Palmeiras do Tocantins (TO)";"94883,0"
"1713957";"Muricilândia (TO)";"70558,6"
"1714203";"Natividade (TO)";"285990,5"
"1714302";"Nazaré (TO)";"70455,2"
"1714880";"Nova Olinda (TO)";"392347,4"
"1715002";"Nova Rosalândia (TO)";"111315,3"
"1715101";"Novo Acordo (TO)";"163934,6"
"1715150";"Novo Alegre (TO)";"34679,3"
"1715259";"Novo Jardim (TO)";"46606,3"
"1715507";"Oliveira de Fátima (TO)";"34139,2"
"1715705";"Palmeirante (TO)";"236266,9"
"1715754";"Palmeirópolis (TO)";"195734,7"
"1716109";"Paraíso do Tocantins (TO)";"2046928,7"
"1716208";"Paranã (TO)";"329731,7"
"1716307";"Pau D'Arco (TO)";"93067,4"
"1716505";"Pedro Afonso (TO)";"944174,9"
"1716604";"Peixe (TO)";"942483,9"
"1716653";"Pequizeiro (TO)";"136571,3"
"1716703";"Colméia (TO)";"204686,0"
"1717008";"Pindorama do Tocantins (TO)";"108191,5"
"1717206";"Piraquê (TO)";"102183,2"
