id_municipio,nome_municipio,populacao
1712702,Mateiros - TO,2638
1712801,Maurilândia do Tocantins - TO,3403
1713205,Miracema do Tocantins - TO,18566
1713304,Miranorte - TO,13375
1713601,Monte do Carmo - TO,7827
1713700,Monte Santo do Tocantins - TO,2263
1713809,Palmeiras do Tocantins - TO,6570
1713957,Muricilândia - TO,3514
1714203,Natividade - TO,9239
1714302,Nazaré - TO,3959
1714880,Nova Olinda - TO,11719
1715002,Nova Rosalândia - TO,4215
1715101,Novo Acordo - TO,4287
1715150,Novo Alegre - TO,2332
1715259,Novo Jardim - TO,2698
1715507,Oliveira de Fátima - TO,1106
1715705,Palmeirante - TO,5919
1715754,Palmeirópolis - TO,7641
1716109,Paraíso do Tocantins - TO,50602
1716208,Paranã - TO,10461
1716307,Pau D'Arco - TO,4831
1716505,Pedro Afonso - TO,13380
1716604,Peixe - TO,11623
1716653,Pequizeiro - TO,5443
1716703,Colméia - TO,8270
1717008,Pindorama do Tocantins - TO,4464
1717206,Piraquê - TO,3023
1717503,Pium - TO,7564
1717800,Ponte Alta do Bom Jesus - TO,4601
1717909,Ponte Alta do Tocantins - TO,7961
1718006,Porto Alegre do Tocantins - TO,3108
1718204,Porto Nacional - TO,52700
1718303,Praia Norte - TO,8365
1718402,Presidente Kennedy - TO,3692
1718451,Pugmil - TO,2659
1718501,Recursolândia - TO,4244
1718550,Riachinho - TO,4604
1718659,Rio da Conceição - TO,2088
1718709,Rio dos Bois - TO,2811
1718758,Rio Sono - TO,6468
1718808,Sampaio - TO,4627
1718840,Sandolândia - TO,3378
1718865,Santa Fé do Araguaia - TO,7426
1718881,Santa Maria do Tocantins - TO,3381
1718899,Santa Rita do Tocantins - TO,2344
1718907,Santa Rosa do Tocantins - TO,4811
1719004,Santa Tereza do Tocantins - TO,2834
1720002,Santa Terezinha do Tocantins - TO,2528
1720101,São Bento do Tocantins - TO,5256
1720150,São Félix do Tocantins - TO,1572
1720200,São Miguel do Tocantins - TO,11967
1720259,São Salvador do Tocantins - TO,3070
1720309,São Sebastião do Tocantins - TO,4757
1720499,São Valério - TO,4017
1720655,Silvanópolis - TO,5378
1720804,Sítio Novo do Tocantins - TO,9078
1720853,Sucupira - TO,1946
1720903,Taguatinga - TO,16538
1720937,Taipas do Tocantins - TO,2131
1720978,Talismã - TO,2773
1721000,Palmas - TO,291855
1721109,Tocantínia - TO,7471
1721208,Tocantinópolis - TO,22896
1721257,Tupirama - TO,1860
1721307,Tupiratins - TO,2613
1722081,Wanderlândia - TO,11631
1722107,Xambioá - TO,11561
2100055,Açailândia - MA,111757
2100105,Afonso Cunha - MA,6469
2100154,Água Doce do Maranhão - MA,12488
2100204,Alcântara - MA,22083
2100303,Aldeias Altas - MA,26302
2100402,Altamira do Maranhão - MA,8066
2100436,Alto Alegre do Maranhão - MA,26839
2100477,Alto Alegre do Pindaré - MA,31894
2100501,Alto Parnaíba - MA,11168
2100550,Amapá do Maranhão - MA,6918
2100600,Amarante do Maranhão - MA,41136
2100709,Anajatuba - MA,26614
2100808,Anapurus - MA,15566
2100832,Apicum-Açu - MA,17063
2100873,Araguanã - MA,15297
2100907,Araioses - MA,46103
2100956,Arame - MA,32637
2101004,Arari - MA,29764
2101103,Axixá - MA,12076
2101202,Bacabal - MA,104633
2101251,Bacabeira - MA,16855
2101301,Bacuri - MA,18508
2101350,Bacurituba - MA,5617
2101400,Balsas - MA,93826
2101509,Barão de Grajaú - MA,18714
2101608,Barra do Corda - MA,87794
2101707,Barreirinhas - MA,61828
2101731,Belágua - MA,7409
2101772,Bela Vista do Maranhão - MA,11138
2101806,Benedito Leite - MA,5627
2101905,Bequimão - MA,21260
2101939,Bernardo do Mearim - MA,6011
2101970,Boa Vista do Gurupi - MA,9158
2102002,Bom Jardim - MA,41435
2102036,Bom Jesus das Selvas - MA,33479
2102077,Bom Lugar - MA,16148
2102101,Brejo - MA,36139
2102150,Brejo de Areia - MA,9367
2102200,Buriti - MA,28557
2102309,Buriti Bravo - MA,23827
2102325,Buriticupu - MA,71723
2102358,Buritirana - MA,15393
2102374,Cachoeira Grande - MA,9382
2102408,Cajapió - MA,11136
2102507,Cajari - MA,19307
2102556,Campestre do Maranhão - MA,14294
2102606,Cândido Mendes - MA,20076
2102705,Cantanhede - MA,21872
2102754,Capinzal do Norte - MA,10932
2102804,Carolina - MA,24337
2102903,Carutapera - MA,23658
2103000,Caxias - MA,164224
2103109,Cedral - MA,10657
2103125,Central do Maranhão - MA,8604
2103158,Centro do Guilherme - MA,13243
2103174,Centro Novo do Maranhão - MA,21399
2103208,Chapadinha - MA,79145
2103257,Cidelândia - MA,14617
2103307,Codó - MA,122597
2103406,Coelho Neto - MA,49246
2103505,Colinas - MA,41042
2103554,Conceição do Lago-Açu - MA,16072
2103604,Coroatá - MA,65044
2103703,Cururupu - MA,32765
2103752,Davinópolis - MA,12901
2103802,Dom Pedro - MA,23328
2103901,Duque Bacelar - MA,11296
2104008,Esperantinópolis - MA,17379
2104057,Estreito - MA,41355
2104073,Feira Nova do Maranhão - MA,8481
2104081,Fernando Falcão - MA,10258
2104099,Formosa da Serra Negra - MA,18917
2104107,Fortaleza dos Nogueiras - MA,12615
2104206,Fortuna - MA,15536
2104305,Godofredo Viana - MA,11672
2104404,Gonçalves Dias - MA,17924
2104503,Governador Archer - MA,10793
2104552,Governador Edison Lobão - MA,18068
2104602,Governador Eugênio Barros - MA,16772
2104628,Governador Luiz Rocha - MA,7772
2104651,Governador Newton Bello - MA,10211
2104677,Governador Nunes Freire - MA,25616
2104701,Graça Aranha - MA,6263
2104800,Grajaú - MA,68876
2104909,Guimarães - MA,12063
2105005,Humberto de Campos - MA,28498
2105104,Icatu - MA,26953
2105153,Igarapé do Meio - MA,14026
2105203,Igarapé Grande - MA,11252
2105302,Imperatriz - MA,258016
2105351,Itaipava do Grajaú - MA,15897
2105401,Itapecuru Mirim - MA,67673
2105427,Itinga do Maranhão - MA,25932
2105450,Jatobá - MA,9993
2105476,Jenipapo dos Vieiras - MA,16432
2105500,João Lisboa - MA,23696
2105609,Joselândia - MA,16136
2105658,Junco do Maranhão - MA,3506
2105708,Lago da Pedra - MA,49911
2105807,Lago do Junco - MA,10808
2105906,Lago Verde - MA,16199
2105922,Lagoa do Mato - MA,11235
2105948,Lago dos Rodrigues - MA,8889
2105963,Lagoa Grande do Maranhão - MA,11320
2105989,Lajeado Novo - MA,7496
2106003,Lima Campos - MA,11867
2106102,Loreto - MA,12098
2106201,Luís Domingues - MA,6917
2106300,Magalhães de Almeida - MA,19620
2106326,Maracaçumé - MA,21201
2106359,Marajá do Sena - MA,7810
2106375,Maranhãozinho - MA,16013
2106409,Mata Roma - MA,16679
2106508,Matinha - MA,23256
2106607,Matões - MA,33615
2106631,Matões do Norte - MA,16451
2106672,Milagres do Maranhão - MA,8445
2106706,Mirador - MA,21000
2106755,Miranda do Norte - MA,28001
2106805,Mirinzal - MA,14913
2106904,Monção - MA,33201
2107001,Montes Altos - MA,9209
2107100,Morros - MA,19292
2107209,Nina Rodrigues - MA,14264
2107258,Nova Colinas - MA,5340
2107308,Nova Iorque - MA,4683
2107357,Nova Olinda do Maranhão - MA,20774
2107407,Olho d'Água das Cunhãs - MA,19448
2107456,Olinda Nova do Maranhão - MA,14563
2107506,Paço do Lumiar - MA,120621
2107605,Palmeirândia - MA,19661
2107704,Paraibano - MA,21290
2107803,Parnarama - MA,34805
2107902,Passagem Franca - MA,18898
2108009,Pastos Bons - MA,19358
2108058,Paulino Neves - MA,15901
2108108,Paulo Ramos - MA,21015
2108207,Pedreiras - MA,39267
2108256,Pedro do Rosário - MA,24930
2108306,Penalva - MA,38203
2108405,Peri Mirim - MA,14291
2108454,Peritoró - MA,23025
2108504,Pindaré-Mirim - MA,32815
2108603,Pinheiro - MA,82990
2108702,Pio XII - MA,21594
2108801,Pirapemas - MA,18527
2108900,Poção de Pedras - MA,18157
2109007,Porto Franco - MA,23675
2109056,Porto Rico do Maranhão - MA,5995
2109106,Presidente Dutra - MA,47567
2109205,Presidente Juscelino - MA,12629
2109239,Presidente Médici - MA,6959
2109270,Presidente Sarney - MA,18764
2109304,Presidente Vargas - MA,11124
2109403,Primeira Cruz - MA,15197
2109452,Raposa - MA,30337
2109502,Riachão - MA,20243
2109551,Ribamar Fiquene - MA,7755
2109601,Rosário - MA,42482
2109700,Sambaíba - MA,5663
2109759,Santa Filomena do Maranhão - MA,7719
2109809,Santa Helena - MA,41770
2109908,Santa Inês - MA,88590
2110005,Santa Luzia - MA,72440
2110039,Santa Luzia do Paruá - MA,25134
2110104,Santa Quitéria do Maranhão - MA,25519
2110203,Santa Rita - MA,37404
2110237,Santana do Maranhão - MA,13223
2110278,Santo Amaro do Maranhão - MA,15654
2110302,Santo Antônio dos Lopes - MA,14534
2110401,São Benedito do Rio Preto - MA,18608
2110500,São Bento - MA,44811
2110609,São Bernardo - MA,28343
2110658,São Domingos do Azeitão - MA,7363
2110708,São Domingos do Maranhão - MA,34368
2110807,São Félix de Balsas - MA,4609
2110856,São Francisco do Brejão - MA,11652
2110906,São Francisco do Maranhão - MA,12201
2111003,São João Batista - MA,20629
2111029,São João do Carú - MA,15828
2111052,São João do Paraíso - MA,11162
2111078,São João do Soter - MA,18438
2111102,São João dos Patos - MA,25860
2111201,São José de Ribamar - MA,176321
2111250,São José dos Basílios - MA,7642
2111300,São Luís - MA,1094667
2111409,São Luís Gonzaga do Maranhão - MA,18988
2111508,São Mateus do Maranhão - MA,41350
2111532,São Pedro da Água Branca - MA,12645
2111573,São Pedro dos Crentes - MA,4651
2111607,São Raimundo das Mangabeiras - MA,18755
2111631,São Raimundo do Doca Bezerra - MA,5345
2111672,São Roberto - MA,6649
2111706,São Vicente Ferrer - MA,22142
2111722,Satubinha - MA,13730
2111748,Senador Alexandre Costa - MA,11067
2111763,Senador La Rocque - MA,14367
2111789,Serrano do Maranhão - MA,10206
2111805,Sítio Novo - MA,18001
2111904,Sucupira do Norte - MA,10639
2111953,Sucupira do Riachão - MA,5645
2112001,Tasso Fragoso - MA,8459
2112100,Timbiras - MA,29064
2112209,Timon - MA,167973
2112233,Trizidela do Vale - MA,21885
2112274,Tufilândia - MA,5826
2112308,Tuntum - MA,41621
2112407,Turiaçu - MA,35497
2112456,Turilândia - MA,25365
2112506,Tutóia - MA,58311
2112605,Urbano Santos - MA,32775
2112704,Vargem Grande - MA,55841
2112803,Viana - MA,52229
2112852,Vila Nova dos Martírios - MA,13183
2112902,Vitória do Mearim - MA,32664
2113009,Vitorino Freire - MA,31525
2114007,Zé Doca - MA,51471
2200053,Acauã - PI,7065
2200103,Agricolândia - PI,5148
2200202,Água Branca - PI,17349
2200251,Alagoinha do Piauí - PI,7636
2200277,Alegrete do Piauí - PI,4912
2200301,Alto Longá - PI,14268
2200400,Altos - PI,40440
2200459,Alvorada do Gurguéia - PI,5392
2200509,Amarante - PI,17592
2200608,Angical do Piauí - PI,6792
2200707,Anísio de Abreu - PI,9818
2200806,Antônio Almeida - PI,3158
2200905,Aroazes - PI,5844
2200954,Aroeiras do Itaim - PI,2551
2201002,Arraial - PI,4735
2201051,Assunção do Piauí - PI,7828
2201101,Avelino Lopes - PI,11252
2201150,Baixa Grande do Ribeiro - PI,11497
2201176,Barra D'Alcântara - PI,3950
2201200,Barras - PI,46941
2201309,Barreiras do Piauí - PI,3344
2201408,Barro Duro - PI,7038
2201507,Batalha - PI,26806
2201556,Bela Vista do Piauí - PI,3999
2201572,Belém do Piauí - PI,3544
2201606,Beneditinos - PI,10462
2201705,Bertolínia - PI,5495
2201739,Betânia do Piauí - PI,6200
2201770,Boa Hora - PI,6744
2201804,Bocaina - PI,4496
2201903,Bom Jesus - PI,24960
2201919,Bom Princípio do Piauí - PI,5608
2201929,Bonfim do Piauí - PI,5654
2201945,Boqueirão do Piauí - PI,6388
2201960,Brasileira - PI,8310
2201988,Brejo do Piauí - PI,3902
2202000,Buriti dos Lopes - PI,19754
2202026,Buriti dos Montes - PI,8223
2202059,Cabeceiras do Piauí - PI,10540
2202075,Cajazeiras do Piauí - PI,3544
2202083,Cajueiro da Praia - PI,7608
2202091,Caldeirão Grande do Piauí - PI,5770
2202109,Campinas do Piauí - PI,5603
2202117,Campo Alegre do Fidalgo - PI,5019
2202133,Campo Grande do Piauí - PI,5919
2202174,Campo Largo do Piauí - PI,7245
2202208,Campo Maior - PI,46770
2202251,Canavieira - PI,3957
2202307,Canto do Buriti - PI,21112
2202406,Capitão de Campos - PI,11388
2202455,Capitão Gervásio Oliveira - PI,4086
2202505,Caracol - PI,10866
2202539,Caraúbas do Piauí - PI,5845
2202554,Caridade do Piauí - PI,5049
2202604,Castelo do Piauí - PI,19715
2202653,Caxingó - PI,5395
2202703,Cocal - PI,27725
2202711,Cocal de Telha - PI,4881
2202729,Cocal dos Alves - PI,6140
2202737,Coivaras - PI,4007
2202752,Colônia do Gurguéia - PI,6451
2202778,Colônia do Piauí - PI,7651
2202802,Conceição do Canindé - PI,4798
2202851,Coronel José Dias - PI,4678
2202901,Corrente - PI,26575
2203008,Cristalândia do Piauí - PI,8264
2203107,Cristino Castro - PI,10401
2203206,Curimatá - PI,11348
2203230,Currais - PI,4939
2203255,Curralinhos - PI,4425
2203271,Curral Novo do Piauí - PI,5316
2203305,Demerval Lobão - PI,13793
2203354,Dirceu Arcoverde - PI,6992
2203404,Dom Expedito Lopes - PI,6884
2203420,Domingos Mourão - PI,4356
